Horodateur,origin,city,country,way_in,way_out,green.grant,lon.city,lat.city,destination,destinationlon,destinationlat,distance_km,lon.country,lat.country,distance.country,inkg.km,outkg.km,inkg,outkg,kgtotal
05/12/2019 13:46:21,Lausanne (Switzerland),Lausanne ,Switzerland,Plane,Plane,NA,6.6322734,46.5196535,Paris (France),2.3619747,48.8354373,410.86322122455675,8.227511999999999,46.818188,492.35430030274244,0.25,0.25,102.71580530613919,102.71580530613919,205.43161061227838
05/12/2019 13:46:37,Paris (France),Paris ,France,Metro or RER,Metro or RER,NA,2.3522219,48.856614,Paris (France),2.3619747,48.8354373,2.4632704964029455,2.213749,46.227638,290.51241838385585,0.0057,0.0057,0.01404064182949679,0.01404064182949679,0.02808128365899358
05/12/2019 13:47:20,Milan (Italy),Milan ,Italy,Train,Plane,1,9.189982,45.464203500000004,Paris (France),2.3619747,48.8354373,638.3836000791583,12.56738,41.87194,1110.9410486106967,0.00506,0.25,3.230221016400541,159.59590001978958,162.82612103619013
05/12/2019 13:51:41,Pisa (Italy),Pisa ,Italy,Plane,Plane,NA,10.4016888,43.7228386,Paris (France),2.3619747,48.8354373,839.7092589283268,12.56738,41.87194,1110.9410486106967,0.25,0.25,209.9273147320817,209.9273147320817,419.8546294641634
05/12/2019 14:01:06,Rovereto (Italy),Rovereto ,Italy,Train,Train,1,11.0401399,45.89096,Paris (France),2.3619747,48.8354373,731.2617310907657,12.56738,41.87194,1110.9410486106967,0.00506,0.00506,3.7001843593192745,3.7001843593192745,7.400368718638549
05/12/2019 15:45:33,Fontainebleau (France),Fontainebleau ,France,Train,Train,NA,2.70162,48.40467599999999,Paris (France),2.3619747,48.8354373,54.074731270613285,2.213749,46.227638,290.51241838385585,0.00506,0.00506,0.27361814022930325,0.27361814022930325,0.5472362804586065
05/12/2019 15:52:24,Grenoble (France),Grenoble ,France,Train,Train,NA,5.724524,45.188529,Paris (France),2.3619747,48.8354373,479.4224210206452,2.213749,46.227638,290.51241838385585,0.00506,0.00506,2.4258774503644647,2.4258774503644647,4.851754900728929
05/12/2019 15:59:07,Marseille (France),Marseille ,France,Train,Train,NA,5.36978,43.296482,Paris (France),2.3619747,48.8354373,658.7661079932121,2.213749,46.227638,290.51241838385585,0.00506,0.00506,3.3333565064456536,3.3333565064456536,6.666713012891307
05/12/2019 16:24:38,Paris (France),Paris ,France,Metro or RER,Metro or RER,NA,2.3522219,48.856614,Paris (France),2.3619747,48.8354373,2.4632704964029455,2.213749,46.227638,290.51241838385585,0.0057,0.0057,0.01404064182949679,0.01404064182949679,0.02808128365899358
05/12/2019 16:48:55,Strasbourg (France),Strasbourg ,France,Train,Car,NA,7.752111299999999,48.5734053,Paris (France),2.3619747,48.8354373,396.9731852256607,2.213749,46.227638,290.51241838385585,0.00506,0.259,2.008684317241843,102.81605497344613,104.82473929068797
05/12/2019 17:50:50,Porto (Portugal),Porto ,Portugal,Plane,Plane,NA,-8.629105299999999,41.1579438,Paris (France),2.3619747,48.8354373,1213.8330873044126,-8.224454,39.39987199999999,1346.0569230855483,0.25,0.25,303.45827182610316,303.45827182610316,606.9165436522063
06/12/2019 19:32:12,Munich (Germany),Munich ,Germany,Train,Train,NA,11.5819805,48.1351253,Paris (France),2.3619747,48.8354373,684.3110882699347,10.451526,51.165691,633.8572778308848,0.00506,0.00506,3.4626141066458693,3.4626141066458693,6.925228213291739
